id	authors	date	title	journal	doi
https://www.zotero.org/groups/bat_literature_project/items/JRGAZ8Z6	Singaravelan | Marimuthu	2003	Mist net captures of the rarest fruit bat Latidens salimalii	CURRENT SCIENCE	
https://www.zotero.org/groups/bat_literature_project/items/DG763DW6	Yee	2000-5-12	Peropteryx macrotis	Mammalian Species	10.1644/0.643.1
https://www.zotero.org/groups/bat_literature_project/items/HU5Y4GWU	Wilson | Graham	1994	Pacific island flying foxes: proceedings of an international conservation conference	Biological Conservation	10.1016/0006-3207(94)90207-0
https://www.zotero.org/groups/bat_literature_project/items/I8R7I9A3	Oliveira | Gibbs	1994	Author(s): Paulo Oliveira and Peter Gibbs	Journal of Tropical Ecology	
https://www.zotero.org/groups/bat_literature_project/items/DI8DDR97	Norberg | Rayner	1987-09-16	Ecological morphology and flight in bats (Mammalia; Chiroptera): wing adaptations, flight performance, foraging strategy and echolocation	Philosophical Transactions of the Royal Society of London. B, Biological Sciences	10.1098/rstb.1987.0030
https://www.zotero.org/groups/bat_literature_project/items/IHVBUCYH	Rudolph | Liegl | Von Helversen	2009-12-1	Habitat Selection and Activity Patterns in the Greater Mouse-Eared Bat Myotis myotis	Acta Chiropterologica	10.3161/150811009X485585
https://www.zotero.org/groups/bat_literature_project/items/EFXVSCP8	Doherty	2/2011	1st International One Health Congress Abstracts: Plenary Abstracts	EcoHealth	10.1007/s10393-010-0376-0
https://www.zotero.org/groups/bat_literature_project/items/HJPETN3W	Monadjem	2018	Species richness patterns and functional traits of the bat fauna of arid southern Africa	Hystrix the Italian Journal of Mammalogy	
https://www.zotero.org/groups/bat_literature_project/items/CM5KK34Z	Menon | Das | Nameer	2018	A new record of Miniopterus fuliginosus (Hodgson, 1835) from Wayanad Wildlife Sanctuary, Western Ghats, India.	Small Mammal Mail	
https://www.zotero.org/groups/bat_literature_project/items/ZIS522AJ	KANGOYE | Guenda | Thiombiano | Kalko | FAHR	2015	Les petits mammifères: Chauves-souris	Biodiversity Journal	
https://www.zotero.org/groups/bat_literature_project/items/Q935KHAB	Baydemir	09/2014	88th Annual Meeting of the German Society for Mammalian Biology	Mammalian Biology	10.1016/j.mambio.2014.07.001
https://www.zotero.org/groups/bat_literature_project/items/CZYR8LSL	Nogueras | Garrido-García | Fijo-León	2013-3-1	Patrones de distribución del complejo “Myotis mystacinus” en la península Ibérica	Barbastella	10.14709/BarbJ.6.1.2013.03
https://www.zotero.org/groups/bat_literature_project/items/WQS53GMA	Krüger	2012-1-1	High Trophic Similarity in the Sympatric North European Trawling Bat Species Myotis daubentonii and Myotis dasycneme	Acta Chiropterologica	10.3161/150811012X661666
https://www.zotero.org/groups/bat_literature_project/items/XJTZ7J6H	Webala | Rydell | Dick | Musila | Patterson	2019-3-1	Echolocation calls of high-duty-cycle bats (Hipposideridae and Rhinonycteridae) from Kenya	Barbastella	10.14709/BarbJ.12.1.2019.02
https://www.zotero.org/groups/bat_literature_project/items/HRFQ6N4F	Fox	2020	Cover Picture and Issue Information	Functional Ecology	10.1111/1365-2435.13372
https://www.zotero.org/groups/bat_literature_project/items/IJI9WGI5	Campbell | Coulson | Lumsden	06/2010	Divergent Microclimates in Artificial and Natural Roosts of the Large-Footed Myotis ( <i>Myotis macropus</i> )	Acta Chiropterologica	10.3161/150811010X504671
https://www.zotero.org/groups/bat_literature_project/items/EQRRREEU	Bumrungsri | Lang | Harrower | Sripaoraya | Kitpipit | Racey	06/2013	The Dawn Bat, <i>Eonycteris spelaea</i> Dobson (Chiroptera: Pteropodidae) Feeds Mainly on Pollen of Economically Important Food Plants in Thailand	Acta Chiropterologica	10.3161/150811013X667894
https://www.zotero.org/groups/bat_literature_project/items/KH9HDP6N	Bulbert | Page | Bernal | Swartz	2015-4-15	Danger Comes from All Fronts: Predator-Dependent Escape Tactics of Túngara Frogs	PLOS ONE	10.1371/journal.pone.0120546
https://www.zotero.org/groups/bat_literature_project/items/H86QTSIF	Brooke	1994-02-18	Diet of the Fishing Bat, Noctilio leporinus (Chiroptera: Noctilionidae)	Journal of Mammalogy	10.2307/1382253
https://www.zotero.org/groups/bat_literature_project/items/7G3DUG7Q	Britton | Jones | Rayner | Boonman | Verboom	03/1997	Flight performance, echolocation and foraging behaviour in pond bats, <i>Myotis dasycneme</i> (Chiroptera: Vespertilionidae)	Journal of Zoology	10.1111/j.1469-7998.1997.tb04842.x
https://www.zotero.org/groups/bat_literature_project/items/2EDEIZE9	Baydemir	2014	Bat fauna of Turkey and northern Cyprus: Species diversity, anthropogenic roost disturbance and conservation status	J. Int. Environmental Application & Science	
https://www.zotero.org/groups/bat_literature_project/items/62JF6KRK	Achondo | Casim | Tanalgo | Agduma | Bretaña | Supremo | Mancao | Salem | Bello	2014	Occurrence and abundance of fruit bats in selected conservation areas of North Cotabato, Philippines.	Asian Journal of Conservation Biology	
https://www.zotero.org/groups/bat_literature_project/items/MWWHDLLC	Stoner	2003	Population dynamics, reproduction, and diet of the lesser long-nosed bat (Leptonycteris curasoae) in Jalisco, Mexico: implications for conservation	Biodiversity and Conservation	
https://www.zotero.org/groups/bat_literature_project/items/63AJBADY	Tschapka	2004	Flower Mites of Calyptrogyne ghiesbreghtiana (Arecaceae): Evidence for Dispersal Using Pollinating Bats'	BlOTROPlCA	
https://www.zotero.org/groups/bat_literature_project/items/A5AA623H	Teixeira | Peracchi	1996	MORCEGOS DO PARQUE ESTADUAL DA SERRA DA TIRIRICA, RIO DE JANEIRO, BRASIL (MAMMALlA, CHIROPTERA)	Revta bras. Zool.	
https://www.zotero.org/groups/bat_literature_project/items/HDJ9AVUL	Stroo	2000	Pollen morphological evolution in bat pollinated plants	Plant Syst. Evol.	
https://www.zotero.org/groups/bat_literature_project/items/EK7F8APS	Steller	1986	The Dietary Energy and Nitrogen Requirements of the Grey-Headed Flying Fox, Pteropus poliocephalus (Temminck) (Megachiroptera)	Aust. J. Zool.	
https://www.zotero.org/groups/bat_literature_project/items/CLDZ5QXR	SlLBERBAUER-GOTTSBERGER	1990	Pollination and Evolution in Palms *)	Phyton	
https://www.zotero.org/groups/bat_literature_project/items/YUW9CFSI	Simberloff | Dayan	1991	The Guild Concept and the Structure of Ecological Communities	Annu. Rev. Ecol. Syst	
https://www.zotero.org/groups/bat_literature_project/items/3K3FHVNT	Stockwell	2001	Morphology and ¯ight manoeuvrability in New World leaf-nosed bats (Chiroptera: Phyllostomidae)	J. Zool., Lond.	
https://www.zotero.org/groups/bat_literature_project/items/76RNBXRP	Sophia	2010	Foraging behaviour of the microchiropteran bat, Hipposideros ater on chosen insect pests	Journal of Biopesticides	
https://www.zotero.org/groups/bat_literature_project/items/49BKRC4V	Schulze | Seavy | Whitacre	2000	A Comparison of the Phyllostomid Bat Assemblages in Undisturbed Neotropical Forest and in Forest Fragments of a Slash-and-Burn Farming Mosaic in Peten, Guatemala’	BlOTROPlCA	
https://www.zotero.org/groups/bat_literature_project/items/THC98CTZ	Siemers | Dietz | Nill | Schnitzler	2001	Myotis daubentonii is able to catch small fish	Acta Chiropterologica	
https://www.zotero.org/groups/bat_literature_project/items/QYVI3J3L	Rollinson | Coleman | Downs	2013	Seasonal differences in foraging dynamics, habitat use and home range size of Wahlberg’s epauletted fruit bat in an urban environment	African Zoology	
https://www.zotero.org/groups/bat_literature_project/items/XN563HNJ	Reinhardt | Jacobs	2006	Abundance of Cacodmus villosus (Stål, 1855) (Heteroptera: Cimicidae) on its host, Neoromicia capensis (Chiroptera: Vespertillionidae)	AfricanEntomology	
https://www.zotero.org/groups/bat_literature_project/items/5CATHZZU	Quesada | Stoner | Munguia-Rosas | OAalazar | Rosas-Guerrero	2004	Effects of Forest Fragmentation on Pollinator Activity and Consequences for Plant Reproductive Success and Mating Patterns in Bat-pollinated Bombacaceous Trees'	BIOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/ZGWTCUNG	Peterlinder	2003	CONTRASTING FLOWERING PHENOLOGY AND SPECIES RICHNESS IN ABIOTICALLY AND BIOTICALLY POLLINATED ANGIOSPERMS	Evolution	
https://www.zotero.org/groups/bat_literature_project/items/HWZNCE3B	Poulsen | Clark | Connor | Smith	2002	DIFFERENTIAL RESOURCE USE BY PRIMATES AND HORNBILLS: IMPLICATIONS FOR SEED DISPERSAL	Ecology and Evolution228-240	
https://www.zotero.org/groups/bat_literature_project/items/9PYSTE2Q	Pavey | Burwell | Grunwald | Marshall | Neuweiler	2001	Dietary Beneﬁts of Twilight Foraging by the Insectivorous Bat Hipposideros speoris	BIOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/9C882EZL	Oliveira | Mori	1999	A central Amazonian terra firme forest. I. High tree species richness on poor soils	Biodiversity and Conservation	
https://www.zotero.org/groups/bat_literature_project/items/KG43MQIX	Núñez-Avellaneda | Rojas-Robles	2008	BIOLOGÍA REPRODUCTIVA Y ECOLOGÍA DE LA POLINIZACIÓN DE LA PALMA MILPESOS OENOCARPUS BATAUA EN LOS ANDES COLOMBIANOS	Caldasia	
https://www.zotero.org/groups/bat_literature_project/items/XDLUYAXG	Muchhala	2002	Flower Visitation by Bats in Cloud Forests of Western Ecuador'	BlOTROPlCA	
https://www.zotero.org/groups/bat_literature_project/items/KPRYJK4L	Novoa | Cadenillas	2011	DISPERSIÓN DE SEMILLAS POR MURCIÉLAGOS FRUGÍVOROS EN BOSQUES DEL PARQUE NACIONAL CERROS DE AMOTAPE, TUMBES, PERÚ	Mastozoología Neotropical	
https://www.zotero.org/groups/bat_literature_project/items/QG7NHERZ	Muller	1992	PARTiÇÃO DE RECURSOS ALIMENTARES ENTRE QUATRO ESPÉCIES DE MORCEGOS FRUGfVOROS (CHIROPTERA, PHYLLOSTOMIDAE)	Revta bras. Zool.	
https://www.zotero.org/groups/bat_literature_project/items/NVZQYZT3	Naidoo | Vosloo | Schoeman	2013	Foraging at wastewater treatment works increases the potential for metal accumulation in an urban adapter, the banana bat	African Zoology	
https://www.zotero.org/groups/bat_literature_project/items/BWX3PZ7X	Molinari | Gutiérrez | Ascenção | Nas | Arends | Már	2005	Predation by Giant Centipedes, Scolopendra gigantea, on Three Species of Bats in a Venezuelan Cave	Caribbean Journal of Science	
https://www.zotero.org/groups/bat_literature_project/items/C47C4QKK	Mikich	2002	A dieta dos morcegos fruglvoros (Mammalia, Chiroptera, Phyllostomidae) de urn pequeno remanescente de Floresta Estacional Semidecidual do sui do Brasil	Revta bras. ZooI.	
https://www.zotero.org/groups/bat_literature_project/items/B2F5HEMH	Mello | Nobre | Manhães | Pereira	2014	FRUGIVORY BY PHYLLOSTOMIDAE BATS IN A MONTANE ATLANTIC FOREST, SOUTHEASTERN MINAS GERAIS, BRAZIL	ECOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/33N4CC2J	Medina | Harvey	2007	Bat Diversity and Movement in an Agricultural Landscape in Matigua´ s, Nicaragua	BIOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/CQB3AKKP	McAllister | Upton | Bursey	2004	Parasites (Coccidia, Trematoda, Nematoda) from Selected Bats of Arkansas	Journal of the Arkansas Academy of Science	
https://www.zotero.org/groups/bat_literature_project/items/HPFU2N68	Lim | Engstrom	2000	PRELIMINARY SURVEY OF BATS FROM THE UPPER MAZARUNI OF GUYANA	Chiroptera Neotropical	
