authors	date	title	journal	type	volume	issue	pages	doi	id	attachment	attachmentId	corpusId	alternativeDoi	alternativeDoiUrl	zenodoResponseCorpusId
Otto | Rall | Brose	12/2007	Allometric degree distributions facilitate food-web stability	Nature	journalArticle	450	7173	1226-1229	10.1038/nature06359	https://www.zotero.org/groups/bat_literature_project/items/6RAB386Y	https://api.zotero.org/groups/5435545/items/225DJR2Q	hash://md5/6bdc818006c01cac3dd90eec4b337289	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13409129	https://doi.org/10.5281/zenodo.13409129	hash://md5/227956d1913ee55e460af32b7a18de13
Horáček | Maul | Smith | Barkai | Gopher	2013	Bat remains (Mammalia, Chiroptera) from the Middle Pleistocene site of Qesem Cave, Israel, with the first Pleistocene record of fruit bats in the Mediterranean region	Palaeontologia Electronica	journalArticle				10.26879/380	https://www.zotero.org/groups/bat_literature_project/items/U7ZDRXSP	https://api.zotero.org/groups/5435545/items/225PBHZA	hash://md5/6b90b5beb4a8f39a49b39a55b0467d4f	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13448551	https://doi.org/10.5281/zenodo.13448551	hash://md5/227956d1913ee55e460af32b7a18de13
Dollman	1910-02-01	On a collection of mammals made by Mr. S. A. Neave, during his expedition in Northern Rhodesia	Annals and Magazine of Natural History	journalArticle	5	26	173-181	10.1080/00222931008692748	https://www.zotero.org/groups/bat_literature_project/items/4UVD7UZS	https://api.zotero.org/groups/5435545/items/225XVRG4	hash://md5/206f0e8a3d881d8d55a2b720834bd829	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.18025923	https://doi.org/10.5281/zenodo.18025923	hash://md5/227956d1913ee55e460af32b7a18de13
Arango-Diago | Castillo-Figueroa | Albarracín-Caro | Pérez-Torres	12/2020	Dietary variation and reproductive status of Mormoops megalophylla (Chiroptera: Mormoopidae) in a cave of Northeastern Andes from Colombia	Mastozoología Neotropical	journalArticle	27	2	258-265	10.31687/saremMN.20.27.2.0.13	https://www.zotero.org/groups/bat_literature_project/items/LU54HZKT	https://api.zotero.org/groups/5435545/items/2262DQBI	hash://md5/543222a1df258c743f9c41a832077294	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.14821209	https://doi.org/10.5281/zenodo.14821209	hash://md5/227956d1913ee55e460af32b7a18de13
Goldman	1932	The status of the Costa Rican red bat	Proceedings of the Biological Society of Washington	journalArticle	45		148-148		https://www.zotero.org/groups/bat_literature_project/items/UMTEIS2R	https://api.zotero.org/groups/5435545/items/228E7EKE	hash://md5/7cfa39a13eebb69334502862c6b424de	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.18039374	https://doi.org/10.5281/zenodo.18039374	hash://md5/227956d1913ee55e460af32b7a18de13
Otálora-Ardila | Herrera M. | Flores-Martínez | Welch | Baker	2016-10-28	Metabolic Cost of the Activation of Immune Response in the Fish-Eating Myotis (Myotis vivesi): The Effects of Inflammation and the Acute Phase Response	PLOS ONE	journalArticle	11	10	e0164938	10.1371/journal.pone.0164938	https://www.zotero.org/groups/bat_literature_project/items/RJKJX5Q7	https://api.zotero.org/groups/5435545/items/228RX4ME	hash://md5/7d91bccf6224c5145c37c4918d0c5309	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13438200	https://doi.org/10.5281/zenodo.13438200	hash://md5/227956d1913ee55e460af32b7a18de13
Salles | Park | Sundar | Macías | Elhilali | Moss	05/2020	Neural Response Selectivity to Natural Sounds in the Bat Midbrain	Neuroscience	journalArticle	434		200-211	10.1016/j.neuroscience.2019.11.047	https://www.zotero.org/groups/bat_literature_project/items/A6U8VSCE	https://api.zotero.org/groups/5435545/items/22AZIIIB	hash://md5/69d32264d5eb215237f03e4da4991b7a	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13431960	https://doi.org/10.5281/zenodo.13431960	hash://md5/227956d1913ee55e460af32b7a18de13
Chubb	06/1909	The Mammals of Matabeleland	Proceedings of the Zoological Society of London	journalArticle	79	1	113-125	10.1111/j.1096-3642.1909.tb01860.x	https://www.zotero.org/groups/bat_literature_project/items/QD2XH3A3	https://api.zotero.org/groups/5435545/items/22BYR8MJ	hash://md5/950528960d8352d9613eacf7eecce642	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13486320	https://doi.org/10.5281/zenodo.13486320	hash://md5/227956d1913ee55e460af32b7a18de13
De Beaux	1924	Mammiferi della Somalia Italiana raccolta del Maggiore Vittorio Tedesco Zammarano nel Museo Civico di Milano	Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale in Milano	journalArticle	62		247-316		https://www.zotero.org/groups/bat_literature_project/items/ZWWXMQXT	https://api.zotero.org/groups/5435545/items/22DSMFQA	hash://md5/9843b1d94d069e541d946a62e065ab54	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.18028980	https://doi.org/10.5281/zenodo.18028980	hash://md5/227956d1913ee55e460af32b7a18de13
 | Chung | Han | Han | Han | Han | Jeong | Lim	2015-06-30	The Diet Composition of the Serotine Bat, Eptesicus serotinus Revealed by Faecal Analysis	Korean Journal of Environment and Ecology	journalArticle	29	3	368-373	10.13047/KJEE.2015.29.3.368	https://www.zotero.org/groups/bat_literature_project/items/EI56E7NA	https://api.zotero.org/groups/5435545/items/22FJ9IFP	hash://md5/dd0537d7669e994244625bbf0a345d64	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13478607	https://doi.org/10.5281/zenodo.13478607	hash://md5/227956d1913ee55e460af32b7a18de13
Булкина | Крускоп	2009	Search for morphological differences between genetically distinct brown long-eared bats (_Plecotus auritus_ s. lato, Vespertilionidae)	Plecotus et al.	journalArticle	11-12		3-13		https://www.zotero.org/groups/bat_literature_project/items/7FDC6PPU	https://api.zotero.org/groups/5435545/items/22GTTM2E	hash://md5/23f03ebc962358320a7529d730041818	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.18025867	https://doi.org/10.5281/zenodo.18025867	hash://md5/227956d1913ee55e460af32b7a18de13
Johnson | McLeod | Burns | Arseneault | Frasier | Broders | Boyles	2015-5-5	Population Genetic Structure Within and among Seasonal Site Types in the Little Brown Bat (Myotis lucifugus) and the Northern Long-Eared Bat (M. septentrionalis)	PLOS ONE	journalArticle	10	5	e0126309	10.1371/journal.pone.0126309	https://www.zotero.org/groups/bat_literature_project/items/PEGSTIR2	https://api.zotero.org/groups/5435545/items/22IDTEJ7	hash://md5/7b951c29003665dd19da8a42b31cb88b	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13447984	https://doi.org/10.5281/zenodo.13447984	hash://md5/227956d1913ee55e460af32b7a18de13
Borrero-H | Hernandez-Camacho	1957	Informe Preliminar Sobre Aves y Mamiferas. de Santander, Colombia	Anales de la Sociedad de Biologia de Bogota	journalArticle	7		197-230		https://www.zotero.org/groups/bat_literature_project/items/3VU5D9TN	https://api.zotero.org/groups/5435545/items/22JWAGZL	hash://md5/5a1b9d2453a4c96a2f7fa76b447c7392	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13415218	https://doi.org/10.5281/zenodo.13415218	hash://md5/227956d1913ee55e460af32b7a18de13
López-Baucells | Torrent | Rocha | E.D. Bobrowiec | M. Palmeirim | F.J. Meyer	01/2019	Stronger together: Combining automated classifiers with manual post-validation optimizes the workload vs reliability trade-off of species identification in bat acoustic surveys	Ecological Informatics	journalArticle	49		45-53	10.1016/j.ecoinf.2018.11.004	https://www.zotero.org/groups/bat_literature_project/items/EJWG2E6W	https://api.zotero.org/groups/5435545/items/22MPJU2S	hash://md5/ddc5881191d8998b86e075d0cc8bec7f	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13452238	https://doi.org/10.5281/zenodo.13452238	hash://md5/227956d1913ee55e460af32b7a18de13
Shilton | Latch | Mckeown | Pert | Westcott	2008	Landscape-scale redistribution of a highly mobile threatened species, Pteropus conspicillatus (Chiroptera, Pteropodidae), in response to Tropical Cyclone Larry	Austral Ecology	journalArticle	33	4	549-561	10.1111/j.1442-9993.2008.01910.x	https://www.zotero.org/groups/bat_literature_project/items/HAXEIFHZ	https://api.zotero.org/groups/5435545/items/22Q85H7Z	hash://md5/652dbbd6ca5dac1677b286ec29a8be77	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13534910	https://doi.org/10.5281/zenodo.13534910	hash://md5/227956d1913ee55e460af32b7a18de13
